parent,child
equine.n.01,zebra.n.01
equine.n.01,horse.n.01
odd-toed_ungulate.n.01,equine.n.01
ungulate.n.01,odd-toed_ungulate.n.01
ungulate.n.01,even-toed_ungulate.n.01
placental.n.01,ungulate.n.01
placental.n.01,carnivore.n.01
placental.n.01,rodent.n.01
placental.n.01,primate.n.02
placental.n.01,pachyderm.n.01
placental.n.01,proboscidean.n.01
placental.n.01,cow.n.02
placental.n.01,bull.n.11
mammal.n.01,placental.n.01
vertebrate.n.01,mammal.n.01
vertebrate.n.01,reptile.n.01
vertebrate.n.01,bird.n.01
chordate.n.01,vertebrate.n.01
animal.n.01,chordate.n.01
animal.n.01,domestic_animal.n.01
animal.n.01,young.n.01
animal.n.01,invertebrate.n.01
organism.n.01,animal.n.01
organism.n.01,person.n.01
organism.n.01,plant.n.02
living_thing.n.01,organism.n.01
living_thing.n.01,life.n.10
whole.n.02,living_thing.n.01
whole.n.02,artifact.n.01
whole.n.02,natural_object.n.01
object.n.01,whole.n.02
object.n.01,location.n.01
object.n.01,land.n.02
object.n.01,land.n.04
object.n.01,floater.n.07
object.n.01,part.n.02
physical_entity.n.01,object.n.01
physical_entity.n.01,causal_agent.n.01
physical_entity.n.01,thing.n.12
physical_entity.n.01,matter.n.03
physical_entity.n.01,process.n.06
entity.n.01,physical_entity.n.01
entity.n.01,abstraction.n.06
chelonian.n.01,turtle.n.02
anapsid.n.01,chelonian.n.01
reptile.n.01,anapsid.n.01
person.n.01,tiger.n.01
person.n.01,simpleton.n.01
person.n.01,follower.n.01
person.n.01,juvenile.n.01
person.n.01,mouse.n.03
person.n.01,adult.n.01
person.n.01,male.n.02
person.n.01,unwelcome_person.n.01
person.n.01,communicator.n.01
person.n.01,female.n.02
person.n.01,preserver.n.03
person.n.01,capitalist.n.02
person.n.01,creator.n.02
person.n.01,worker.n.01
person.n.01,entertainer.n.01
person.n.01,planner.n.01
person.n.01,party.n.05
person.n.01,cancer.n.02
person.n.01,national.n.01
person.n.01,traveler.n.01
person.n.01,life.n.08
person.n.01,applicant.n.01
person.n.01,friend.n.01
person.n.01,intellectual.n.01
person.n.01,inhabitant.n.01
person.n.01,person_of_color.n.01
person.n.01,acquaintance.n.03
causal_agent.n.01,person.n.01
causal_agent.n.01,agent.n.03
causal_agent.n.01,agent.n.01
big_cat.n.01,tiger.n.02
big_cat.n.01,lion.n.01
feline.n.01,big_cat.n.01
feline.n.01,cat.n.01
carnivore.n.01,feline.n.01
carnivore.n.01,canine.n.02
carnivore.n.01,bear.n.01
bovid.n.01,sheep.n.01
bovid.n.01,bovine.n.01
ruminant.n.01,bovid.n.01
ruminant.n.01,deer.n.01
even-toed_ungulate.n.01,ruminant.n.01
even-toed_ungulate.n.01,camel.n.01
simpleton.n.01,sheep.n.02
follower.n.01,sheep.n.03
rodent.n.01,rat.n.01
rodent.n.01,mouse.n.01
pad.n.04,rat.n.05
padding.n.01,pad.n.04
artifact.n.01,padding.n.01
artifact.n.01,instrumentality.n.03
artifact.n.01,fixture.n.01
artifact.n.01,commodity.n.01
artifact.n.01,creation.n.02
artifact.n.01,line.n.18
artifact.n.01,lemon.n.05
artifact.n.01,decoration.n.01
artifact.n.01,structure.n.01
artifact.n.01,weight.n.04
artifact.n.01,plaything.n.01
artifact.n.01,surface.n.01
artifact.n.01,opening.n.10
artifact.n.01,covering.n.02
artifact.n.01,block.n.01
dog.n.01,puppy.n.01
canine.n.02,dog.n.01
domestic_animal.n.01,dog.n.01
pup.n.01,puppy.n.01
young_mammal.n.01,pup.n.01
young_mammal.n.01,kitten.n.01
young.n.01,young_mammal.n.01
young_person.n.01,puppy.n.02
juvenile.n.01,young_person.n.01
bivalve.n.01,oyster.n.01
mollusk.n.01,bivalve.n.01
invertebrate.n.01,mollusk.n.01
invertebrate.n.01,arthropod.n.01
helping.n.01,oyster.n.03
helping.n.01,drink.n.01
small_indefinite_quantity.n.01,helping.n.01
indefinite_quantity.n.01,small_indefinite_quantity.n.01
measure.n.02,indefinite_quantity.n.01
measure.n.02,definite_quantity.n.01
measure.n.02,system_of_measurement.n.01
measure.n.02,point.n.06
measure.n.02,fundamental_quantity.n.01
measure.n.02,time_interval.n.01
measure.n.02,time_unit.n.01
abstraction.n.06,measure.n.02
abstraction.n.06,psychological_feature.n.01
abstraction.n.06,communication.n.02
abstraction.n.06,relation.n.01
abstraction.n.06,attribute.n.02
abstraction.n.06,group.n.01
electronic_device.n.01,mouse.n.04
device.n.01,electronic_device.n.01
device.n.01,mechanism.n.05
device.n.01,restraint.n.06
device.n.01,machine.n.01
device.n.01,corrective.n.01
instrumentality.n.03,device.n.01
instrumentality.n.03,equipment.n.01
instrumentality.n.03,implement.n.01
instrumentality.n.03,furnishing.n.02
instrumentality.n.03,container.n.01
instrumentality.n.03,conveyance.n.03
primate.n.02,monkey.n.01
celebrity.n.01,lion.n.02
important_person.n.01,celebrity.n.01
adult.n.01,important_person.n.01
adult.n.01,woman.n.01
adult.n.01,man.n.01
adult.n.01,professional.n.01
horse.n.01,workhorse.n.02
horse.n.01,chestnut.n.06
gymnastic_apparatus.n.01,horse.n.02
sports_equipment.n.01,gymnastic_apparatus.n.01
sports_equipment.n.01,golf_equipment.n.01
sports_equipment.n.01,basketball_equipment.n.01
