parent,child
leather.n.01,alligator.n.01
animal_skin.n.01,leather.n.01
animal_skin.n.01,fur.n.01
animal_product.n.01,animal_skin.n.01
animal_material.n.01,animal_product.n.01
material.n.01,animal_material.n.01
material.n.01,rind.n.01
material.n.01,plant_material.n.01
material.n.01,coloring_material.n.01
material.n.01,paper.n.01
material.n.01,humate.n.01
substance.n.01,material.n.01
substance.n.01,fluid.n.01
matter.n.03,substance.n.01
matter.n.03,solid.n.01
matter.n.03,substance.n.07
matter.n.03,vegetable_matter.n.01
physical_entity.n.01,matter.n.03
physical_entity.n.01,object.n.01
physical_entity.n.01,causal_agent.n.01
physical_entity.n.01,process.n.06
physical_entity.n.01,thing.n.12
entity.n.01,physical_entity.n.01
entity.n.01,abstraction.n.06
part.n.01,substance.n.01
part.n.01,language_unit.n.01
relation.n.01,part.n.01
abstraction.n.06,relation.n.01
abstraction.n.06,psychological_feature.n.01
abstraction.n.06,communication.n.02
abstraction.n.06,measure.n.02
abstraction.n.06,group.n.01
abstraction.n.06,attribute.n.02
crocodilian_reptile.n.01,alligator.n.02
diapsid.n.01,crocodilian_reptile.n.01
diapsid.n.01,saurian.n.01
diapsid.n.01,snake.n.01
reptile.n.01,diapsid.n.01
reptile.n.01,anapsid.n.01
vertebrate.n.01,reptile.n.01
vertebrate.n.01,amphibian.n.03
vertebrate.n.01,bird.n.01
vertebrate.n.01,mammal.n.01
vertebrate.n.01,aquatic_vertebrate.n.01
chordate.n.01,vertebrate.n.01
animal.n.01,chordate.n.01
animal.n.01,game.n.04
animal.n.01,invertebrate.n.01
organism.n.01,animal.n.01
organism.n.01,person.n.01
organism.n.01,plant.n.02
living_thing.n.01,organism.n.01
whole.n.02,living_thing.n.01
whole.n.02,artifact.n.01
whole.n.02,natural_object.n.01
object.n.01,whole.n.02
object.n.01,snake.n.05
object.n.01,location.n.01
object.n.01,geological_formation.n.01
object.n.01,part.n.02
amphibian.n.03,frog.n.01
frenchman.n.01,frog.n.02
european.n.01,frenchman.n.01
inhabitant.n.01,european.n.01
person.n.01,inhabitant.n.01
person.n.01,bad_person.n.01
person.n.01,worker.n.01
person.n.01,advocate.n.01
person.n.01,amerindian.n.01
person.n.01,person_of_color.n.01
person.n.01,adult.n.01
person.n.01,unwelcome_person.n.01
person.n.01,dresser.n.02
person.n.01,capitalist.n.02
person.n.01,male.n.02
person.n.01,preserver.n.03
person.n.01,communicator.n.01
person.n.01,female.n.02
person.n.01,simpleton.n.01
person.n.01,follower.n.01
person.n.01,tiger.n.01
