parent,child
diamond.n.01,ice.n.03
jewel.n.01,diamond.n.01
jewel.n.01,ruby.n.01
jewel.n.01,emerald.n.02
jewel.n.01,sapphire.n.02
jewel.n.01,pearl.n.01
jewelry.n.01,jewel.n.01
jewelry.n.01,necklace.n.01
jewelry.n.01,pin.n.01
jewelry.n.01,bracelet.n.02
jewelry.n.01,bead.n.01
jewelry.n.01,ring.n.08
adornment.n.01,jewelry.n.01
adornment.n.01,frog.n.03
adornment.n.01,band.n.04
decoration.n.01,adornment.n.01
decoration.n.01,brass.n.05
decoration.n.01,design.n.04
decoration.n.01,bow.n.08
decoration.n.01,garnish.n.01
decoration.n.01,molding.n.02
decoration.n.01,flower_arrangement.n.01
artifact.n.01,decoration.n.01
artifact.n.01,creation.n.02
artifact.n.01,article.n.02
artifact.n.01,covering.n.02
artifact.n.01,instrumentality.n.03
artifact.n.01,structure.n.01
artifact.n.01,block.n.01
artifact.n.01,square.n.07
artifact.n.01,commodity.n.01
artifact.n.01,strip.n.02
artifact.n.01,facility.n.01
artifact.n.01,sheet.n.06
artifact.n.01,line.n.18
artifact.n.01,padding.n.01
artifact.n.01,fabric.n.01
artifact.n.01,way.n.06
artifact.n.01,lemon.n.05
artifact.n.01,opening.n.10
artifact.n.01,fixture.n.01
artifact.n.01,antiquity.n.03
artifact.n.01,surface.n.01
artifact.n.01,layer.n.01
artifact.n.01,building_material.n.01
artifact.n.01,plaything.n.01
artifact.n.01,paving.n.01
artifact.n.01,excavation.n.03
artifact.n.01,track.n.03
artifact.n.01,insert.n.02
artifact.n.01,float.n.06
artifact.n.01,weight.n.04
whole.n.02,artifact.n.01
whole.n.02,natural_object.n.01
whole.n.02,living_thing.n.01
object.n.01,whole.n.02
object.n.01,part.n.02
object.n.01,moon.n.02
object.n.01,location.n.01
object.n.01,geological_formation.n.01
object.n.01,web.n.01
object.n.01,head.n.17
object.n.01,land.n.04
object.n.01,ribbon.n.01
object.n.01,remains.n.01
object.n.01,land.n.02
object.n.01,floater.n.07
object.n.01,hail.n.02
object.n.01,ice.n.02
object.n.01,wall.n.02
object.n.01,snake.n.05
physical_entity.n.01,object.n.01
physical_entity.n.01,matter.n.03
physical_entity.n.01,causal_agent.n.01
physical_entity.n.01,process.n.06
physical_entity.n.01,thing.n.12
entity.n.01,physical_entity.n.01
entity.n.01,abstraction.n.06
entity.n.01,thing.n.08
carbon.n.01,diamond.n.02
carbon.n.01,graphite.n.01
carbon.n.01,charcoal.n.01
chemical_element.n.01,carbon.n.01
chemical_element.n.01,metallic_element.n.01
chemical_element.n.01,boron.n.01
chemical_element.n.01,sulfur.n.01
chemical_element.n.01,argon.n.01
chemical_element.n.01,noble_gas.n.01
chemical_element.n.01,phosphorus.n.01
chemical_element.n.01,plutonium.n.01
chemical_element.n.01,oxygen.n.01
chemical_element.n.01,hydrogen.n.01
chemical_element.n.01,nitrogen.n.01
chemical_element.n.01,helium.n.01
chemical_element.n.01,chlorine.n.01
chemical_element.n.01,fluorine.n.01
chemical_element.n.01,neon.n.01
chemical_element.n.01,iodine.n.01
chemical_element.n.01,bromine.n.01
chemical_element.n.01,krypton.n.01
chemical_element.n.01,xenon.n.01
chemical_element.n.01,radon.n.01
chemical_element.n.01,silicon.n.01
chemical_element.n.01,arsenic.n.02
chemical_element.n.01,astatine.n.01
chemical_element.n.01,tellurium.n.01
chemical_element.n.01,lawrencium.n.01
substance.n.01,chemical_element.n.01
substance.n.01,material.n.01
substance.n.01,mixture.n.01
substance.n.01,atom.n.01
substance.n.01,fluid.n.01
substance.n.01,body_substance.n.01
substance.n.01,element.n.05
substance.n.01,medium.n.07
substance.n.01,chemistry.n.02
matter.n.03,substance.n.01
matter.n.03,solid.n.01
matter.n.03,substance.n.07
matter.n.03,fluid.n.02
matter.n.03,vegetable_matter.n.01
matter.n.03,sediment.n.01
matter.n.03,residue.n.01
part.n.01,substance.n.01
part.n.01,language_unit.n.01
part.n.01,item.n.01
relation.n.01,part.n.01
relation.n.01,possession.n.02
relation.n.01,position.n.07
relation.n.01,magnitude_relation.n.01
relation.n.01,foundation.n.01
relation.n.01,linguistic_relation.n.01
relation.n.01,temporal_relation.n.01
relation.n.01,change.n.02
relation.n.01,social_relation.n.01
abstraction.n.06,relation.n.01
abstraction.n.06,attribute.n.02
abstraction.n.06,measure.n.02
abstraction.n.06,psychological_feature.n.01
abstraction.n.06,communication.n.02
abstraction.n.06,group.n.01
abstraction.n.06,set.n.02
transparent_gem.n.01,diamond.n.02
transparent_gem.n.01,ruby.n.02
transparent_gem.n.01,emerald.n.01
transparent_gem.n.01,sapphire.n.01
transparent_gem.n.01,topaz.n.02
transparent_gem.n.01,amethyst.n.01
transparent_gem.n.01,chalcedony.n.01
transparent_gem.n.01,garnet.n.01
transparent_gem.n.01,aquamarine.n.01
transparent_gem.n.01,moonstone.n.01
transparent_gem.n.01,chrysolite.n.01
transparent_gem.n.01,peridot.n.01
gem.n.02,transparent_gem.n.01
gem.n.02,opaque_gem.n.01
crystal.n.01,gem.n.02
crystal.n.01,ice.n.01
solid.n.01,crystal.n.01
solid.n.01,food.n.02
solid.n.01,plastic.n.01
solid.n.01,glass.n.01
playing_card.n.01,diamond.n.04
playing_card.n.01,crib.n.04
playing_card.n.01,heart.n.10
playing_card.n.01,club.n.06
playing_card.n.01,face_card.n.01
playing_card.n.01,suit.n.06
playing_card.n.01,spot.n.13
card.n.01,playing_card.n.01
paper.n.01,card.n.01
paper.n.01,newspaper.n.04
paper.n.01,cardboard.n.01
paper.n.01,sheet.n.02
paper.n.01,linen.n.02
paper.n.01,crepe.n.01
paper.n.01,pad.n.01
material.n.01,paper.n.01
material.n.01,mineral.n.01
material.n.01,conductor.n.02
material.n.01,rock.n.02
material.n.01,plant_material.n.01
material.n.01,packing_material.n.01
material.n.01,animal_material.n.01
material.n.01,fiber.n.01
material.n.01,chemical.n.01
material.n.01,coloring_material.n.01
material.n.01,sorbent.n.01
material.n.01,earth.n.02
material.n.01,adhesive_material.n.01
material.n.01,filling.n.01
material.n.01,atom.n.02
material.n.01,humate.n.01
material.n.01,particulate.n.01
material.n.01,dust.n.03
material.n.01,rind.n.01
material.n.01,waste.n.01
material.n.01,sealing_material.n.01
material.n.01,discharge.n.03
corundom.n.01,ruby.n.02
corundom.n.01,sapphire.n.01
mineral.n.01,corundom.n.01
mineral.n.01,beryl.n.01
mineral.n.01,opal.n.01
mineral.n.01,quartz.n.02
mineral.n.01,topaz.n.02
mineral.n.01,garnet.n.01
